category,cat_tot_count,cat_avg_stars
Lingerie,14.0,3.7857142857142856
Windshield Installation & Repair,6.0,3.5
Auto Glass Services,22.0,3.75
Horseback Riding,7.0,4.785714285714286
Auto Detailing,16.0,3.25
Car Stereo Installation,8.0,3.4375
Nurseries & Gardening,16.0,4.3125
Southern,14.0,3.5714285714285716
Solar Installation,3.0,4.833333333333333
Heating & Air Conditioning/HVAC,17.0,4.235294117647059
Movers,9.0,3.888888888888889
Mattresses,4.0,3.375
Medical Centers,14.0,3.5714285714285716
Post Offices,15.0,2.933333333333333
Carpet Cleaning,9.0,4.0
Desserts,74.0,3.9594594594594597
Karaoke,15.0,3.533333333333333
Chicken Wings,43.0,3.3488372093023258
Car Dealers,32.0,3.203125
Irish,13.0,3.6153846153846154
Street Vendors,15.0,4.266666666666667
Television Service Providers,5.0,2.5
Internet Service Providers,16.0,2.625
Boating,6.0,3.9166666666666665
Rafting/Kayaking,3.0,4.0
Festivals,17.0,3.323529411764706
Gluten-Free,27.0,3.685185185185185
Soul Food,10.0,3.65
Keys & Locksmiths,7.0,4.571428571428571
German,5.0,3.8
Gelato,7.0,4.428571428571429
Children's Clothing,15.0,3.9
Pool Cleaners,8.0,3.6875
Internal Medicine,5.0,3.7
Pet Boarding/Pet Sitting,37.0,4.391891891891892
Martial Arts,9.0,4.611111111111111
Pilates,9.0,4.555555555555555
Halal,5.0,4.1
Hospitals,15.0,3.3666666666666667
Dog Walkers,6.0,4.416666666666667
Stadiums & Arenas,24.0,3.8541666666666665
Maternity Wear,4.0,3.625
Pet Training,15.0,3.6333333333333333
Local Flavor,40.0,4.25
Weight Loss Centers,4.0,4.25
Creperies,8.0,4.0625
Sewing & Alterations,24.0,4.020833333333333
Cuban,7.0,3.642857142857143
Amusement Parks,23.0,3.608695652173913
Bowling,21.0,3.619047619047619
Landmarks & Historical Buildings,10.0,3.95
Museums,21.0,4.142857142857143
Child Care & Day Care,7.0,4.357142857142857
Preschools,5.0,4.0
Korean,25.0,3.5
Urgent Care,19.0,3.3421052631578947
Computers,19.0,3.473684210526316
Jazz & Blues,9.0,4.111111111111111
Gastropubs,9.0,3.9444444444444446
Mini Golf,4.0,3.0
Churches,12.0,4.583333333333333
Religious Organizations,13.0,4.615384615384615
Towing,4.0,4.125
Adult Entertainment,5.0,2.9
Mongolian,12.0,3.4166666666666665
Dance Schools,4.0,4.75
Do-It-Yourself Food,7.0,4.0
Mass Media,14.0,3.5714285714285716
Radio Stations,8.0,3.8125
Handyman,7.0,5.0
Zoos,3.0,3.8333333333333335
Pediatricians,15.0,4.066666666666666
Laser Hair Removal,11.0,3.590909090909091
Tattoo,6.0,4.833333333333333
Acupuncture,6.0,4.916666666666667
Physical Therapy,11.0,4.636363636363637
Outlet Stores,9.0,3.388888888888889
Soup,10.0,3.7
Real Estate Services,8.0,4.375
Chocolatiers & Shops,10.0,4.3
Insurance,3.0,4.166666666666667
Photography Stores & Services,9.0,2.9444444444444446
Body Shops,17.0,4.352941176470588
Turkish,3.0,3.8333333333333335
Tapas Bars,4.0,3.875
Seafood Markets,4.0,4.125
Electricians,7.0,5.0
Fondue,4.0,3.875
Lawyers,4.0,5.0
Massage Therapy,7.0,4.5
Lakes,5.0,4.2
Landscaping,13.0,4.0
Bike Rentals,13.0,4.153846153846154
Taxis,3.0,3.6666666666666665
Furniture Reupholstery,3.0,4.333333333333333
Food Trucks,3.0,4.833333333333333
Playgrounds,6.0,4.416666666666667
Dermatologists,10.0,3.8
IT Services & Computer Repair,14.0,4.107142857142857
Airport Shuttles,3.0,3.6666666666666665
Parking,5.0,4.1
Smog Check Stations,3.0,2.8333333333333335
Salad,9.0,3.5
Pest Control,13.0,3.5
Social Clubs,3.0,4.833333333333333
Animal Shelters,7.0,4.357142857142857
Polish,4.0,4.375
Allergists,4.0,3.375
Ear Nose & Throat,4.0,3.0
Appliances & Repair,8.0,3.6875
Property Management,5.0,2.6
Leather Goods,3.0,3.0
Home Inspectors,3.0,4.0
Swimming Lessons/Schools,4.0,4.625
Meat Shops,10.0,4.2
Shoe Repair,13.0,4.384615384615385
Sports Clubs,5.0,3.5
Hookah Bars,3.0,3.8333333333333335
Fruits & Veggies,8.0,4.5
Outdoor Gear,8.0,4.1875
Hair Stylists,3.0,4.666666666666667
Departments of Motor Vehicles,6.0,3.0
Comedy Clubs,4.0,4.375
Podiatrists,3.0,4.5
Peruvian,3.0,3.5
Tea Rooms,6.0,4.416666666666667
Interior Design,4.0,3.375
Watch Repair,3.0,4.5
Flooring,4.0,3.875
Recreation Centers,3.0,4.166666666666667
Gun/Rifle Ranges,3.0,3.8333333333333335
Skating Rinks,4.0,3.25
Travel Services,4.0,2.625
Bed & Breakfast,3.0,4.166666666666667
Watches,3.0,3.0
Public Transportation,3.0,3.6666666666666665
Afghan,3.0,4.0
Boot Camps,3.0,5.0
Brazilian,3.0,3.6666666666666665
Print Media,3.0,3.5
